,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
502,Manchester United,Everton,1.0,6.0,75643.0,Old Trafford,feb,0.0,2012/13,2012,Manchester,5.0,28.4,75525.0
503,Tottenham Hotspur,Newcastle United,4.0,16.0,36284.0,White Hart Lane,feb,0.0,2012/13,2012,London,6.0,47.9,36244.0
504,Chelsea,Wigan Athletic,3.0,19.0,40834.0,Stamford Bridge,feb,0.0,2012/13,2012,London,6.0,47.9,41562.0
505,Norwich City,Fulham,14.0,12.0,27359.0,Carrow Road,feb,0.0,2012/13,2012,Norwich,5.0,25.8,26816.0
506,Stoke City,Reading,10.0,18.0,30089.0,bet365 Stadium,feb,0.0,2012/13,2012,Stoke,5.0,28.4,26737.0
507,Sunderland,Arsenal,13.0,5.0,48707.0,Stadium of Light,feb,0.0,2012/13,2012,Sunderland,4.0,17.8,46402.0
508,Swansea City,Queens Park Rangers,8.0,20.0,20937.0,Liberty Stadium,feb,0.0,2012/13,2012,Swansea,6.0,70.1,20529.0
509,Southampton,Manchester City,15.0,2.0,32384.0,The Friends Provident St Mary's Stadium,feb,0.0,2012/13,2012,Southampton,6.0,23.8,31738.0
510,West Bromwich Albion,Tottenham Hotspur,9.0,4.0,26445.0,The Hawthorns,feb,0.0,2012/13,2012,West Bromwich,5.0,23.4,24978.0
511,Manchester City,Liverpool,2.0,7.0,53400.0,Etihad Stadium,feb,0.0,2012/13,2012,Manchester,5.0,28.4,47301.0
512,Queens Park Rangers,Norwich City,20.0,14.0,18439.0,Loftus Road,feb,0.0,2012/13,2012,London,6.0,47.9,17543.0
513,Arsenal,Stoke City,6.0,10.0,60704.0,Emirates Stadium,feb,0.0,2012/13,2012,London,6.0,47.9,59872.0
514,Everton,Aston Villa,5.0,19.0,39414.0,Goodison Park,feb,0.0,2012/13,2012,Liverpool,6.0,40.6,38121.0
515,Newcastle United,Chelsea,15.0,3.0,52305.0,St James' Park,feb,0.0,2012/13,2012,Newcastle,3.0,122.8,52314.0
516,Reading,Sunderland,17.0,12.0,24161.0,Madejski Stadium,feb,0.0,2012/13,2012,Reading,5.0,27.2,23829.0
517,West Ham United,Swansea City,11.0,8.0,35345.0,Boleyn Ground,feb,0.0,2012/13,2012,London,6.0,47.9,34962.0
518,Wigan Athletic,Southampton,18.0,16.0,25138.0,DW Stadium,feb,0.0,2012/13,2012,Wigan,6.0,40.6,18598.0
519,Fulham,Manchester United,13.0,1.0,25700.0,Craven Cottage,feb,0.0,2012/13,2012,London,6.0,47.9,25670.0
520,Arsenal,Liverpool,6.0,7.0,60704.0,Emirates Stadium,jan,0.0,2012/13,2012,London,6.0,52.9,60089.0
521,Everton,West Bromwich Albion,5.0,9.0,39414.0,Goodison Park,jan,0.0,2012/13,2012,Liverpool,5.0,58.3,31376.0
522,Norwich City,Tottenham Hotspur,14.0,4.0,27359.0,Carrow Road,jan,0.0,2012/13,2012,Norwich,5.0,27.9,26818.0
523,Fulham,West Ham United,12.0,13.0,25700.0,Craven Cottage,jan,1.0,2012/13,2012,London,6.0,52.9,24791.0
524,Manchester United,Southampton,1.0,16.0,75643.0,Old Trafford,jan,0.0,2012/13,2012,Manchester,5.0,32.4,75600.0
525,Reading,Chelsea,17.0,3.0,24161.0,Madejski Stadium,jan,0.0,2012/13,2012,Reading,5.0,39.4,24097.0
526,Aston Villa,Newcastle United,19.0,15.0,42749.0,Villa Park,jan,0.0,2012/13,2012,Birmingham,4.0,34.7,30334.0
527,Queens Park Rangers,Manchester City,20.0,2.0,18439.0,Loftus Road,jan,0.0,2012/13,2012,London,6.0,52.9,17894.0
528,Stoke City,Wigan Athletic,10.0,18.0,30089.0,bet365 Stadium,jan,0.0,2012/13,2012,Stoke,5.0,32.4,24421.0
529,Sunderland,Swansea City,11.0,8.0,48707.0,Stadium of Light,jan,0.0,2012/13,2012,Sunderland,4.0,20.8,35628.0
530,Arsenal,West Ham United,6.0,12.0,60704.0,Emirates Stadium,jan,1.0,2012/13,2012,London,6.0,52.9,60081.0
531,Southampton,Everton,15.0,5.0,32384.0,The Friends Provident St Mary's Stadium,jan,0.0,2012/13,2012,Southampton,6.0,35.7,28359.0
532,Chelsea,Arsenal,3.0,6.0,40834.0,Stamford Bridge,jan,1.0,2012/13,2012,London,6.0,52.9,41784.0
533,Tottenham Hotspur,Manchester United,4.0,1.0,36284.0,White Hart Lane,jan,0.0,2012/13,2012,London,6.0,52.9,35956.0
534,Liverpool,Norwich City,7.0,13.0,54074.0,Anfield,jan,0.0,2012/13,2012,Liverpool,5.0,58.3,44901.0
535,Manchester City,Fulham,2.0,14.0,53400.0,Etihad Stadium,jan,0.0,2012/13,2012,Manchester,5.0,32.4,47286.0
536,Newcastle United,Reading,16.0,18.0,52305.0,St James' Park,jan,0.0,2012/13,2012,Newcastle,3.0,190.9,49411.0
537,Swansea City,Stoke City,9.0,10.0,20937.0,Liberty Stadium,jan,0.0,2012/13,2012,Swansea,6.0,99.2,19603.0
538,West Ham United,Queens Park Rangers,12.0,20.0,35345.0,Boleyn Ground,jan,1.0,2012/13,2012,London,6.0,52.9,34962.0
539,West Bromwich Albion,Aston Villa,8.0,17.0,26445.0,The Hawthorns,jan,0.0,2012/13,2012,West Bromwich,4.0,34.7,25583.0
540,Wigan Athletic,Sunderland,19.0,11.0,25138.0,DW Stadium,jan,0.0,2012/13,2012,Wigan,5.0,58.3,19219.0
