,team_1,team_2,team_1_rating,team_2_rating,capacity,month,derby,year,city,temprature,precipitation,attendance,occuper
246,1,18,3,14,38419,11,False,1995,16,9,72,34556,89
247,6,19,9,5,33746,11,False,1995,21,7,29,29487,87
248,9,13,15,4,15200,11,False,1995,4,8,28,13582,89
249,17,3,16,20,18439,11,False,1995,16,9,72,11189,60
250,13,7,4,1,42749,11,False,1995,13,7,31,39167,91
251,14,8,12,8,31367,11,False,1995,12,8,43,27660,88
252,15,10,19,13,22616,11,False,1995,25,7,35,19047,84
253,11,2,7,10,37792,11,False,1995,22,6,43,36209,95
254,16,4,6,11,54074,11,True,1995,31,8,67,40818,75
255,12,9,2,15,75643,11,False,1995,26,7,35,39301,51
256,18,5,14,18,39812,11,False,1995,17,6,52,24422,61
257,19,1,5,3,36284,11,True,1995,16,9,72,32894,90
258,20,6,17,9,25486,11,False,1995,16,9,72,13780,54
259,7,14,1,11,52305,11,False,1995,18,6,202,36473,69
260,8,20,3,17,30602,11,False,1995,20,7,70,20810,68
261,4,14,13,11,39414,11,False,1995,31,8,67,30097,76
262,1,12,4,2,38419,11,False,1995,16,9,72,38317,99
263,2,18,10,14,40834,11,False,1995,16,9,72,23216,56
264,3,19,19,9,23489,11,False,1995,28,7,25,17545,74
265,5,15,20,18,35150,11,False,1995,26,7,35,28397,80
266,6,11,7,8,33746,11,False,1995,21,7,29,29467,87
267,7,16,1,5,52305,11,False,1995,18,6,202,36547,69
268,9,17,15,16,15200,11,False,1995,4,8,28,15137,99
269,10,13,12,6,35345,11,False,1995,16,9,72,23637,66
270,15,1,18,4,22616,10,False,1995,25,11,46,18682,82
271,19,7,9,1,36284,10,False,1995,16,13,61,32279,88
272,13,4,7,16,42749,10,False,1995,13,11,31,32792,76
273,14,2,11,10,31367,10,False,1995,12,11,54,27733,88
274,11,3,8,19,37792,10,False,1995,22,9,40,30161,79
275,16,5,3,20,54074,10,False,1995,31,12,58,39267,72
276,12,6,2,6,75643,10,False,1995,26,11,46,36580,48
277,17,8,14,5,18439,10,False,1995,16,13,61,17549,95
278,18,10,13,12,39812,10,False,1995,17,10,49,23917,60
279,20,9,15,17,25486,10,False,1995,16,13,61,7982,31
280,4,19,15,9,39414,10,False,1995,31,12,58,33629,85
281,9,16,18,5,15200,10,False,1995,4,12,29,15245,100
282,1,13,3,7,38419,10,False,1995,16,13,61,38271,99
283,2,12,10,2,40834,10,False,1995,16,13,61,31019,75
284,3,18,17,12,23489,10,False,1995,28,11,26,13998,59
285,5,11,20,8,35150,10,False,1995,26,11,46,26390,75
286,6,17,4,16,33746,10,False,1995,21,10,32,29293,86
287,7,20,1,14,52305,10,False,1995,18,9,161,36434,69
288,8,15,6,19,30602,10,False,1995,20,10,65,25426,83
289,10,14,13,11,35345,10,False,1995,16,13,61,21776,61
290,20,10,12,13,25486,10,True,1995,16,13,61,9411,36
291,18,6,16,4,39812,10,False,1995,17,10,49,21177,53
292,13,2,7,9,42749,10,False,1995,13,11,31,34922,81
293,14,9,11,18,31367,10,False,1995,12,11,54,26780,85
294,15,4,19,15,22616,10,False,1995,25,11,46,20427,90
295,11,1,8,3,37792,10,False,1995,22,9,40,38552,102
296,16,3,5,17,54074,10,False,1995,31,12,58,39079,72
297,12,5,2,20,75643,10,True,1995,26,11,46,35707,47
298,17,7,14,1,18439,10,False,1995,16,13,61,18254,98
299,19,8,10,6,36284,10,False,1995,16,13,61,32876,90
300,9,10,17,16,15200,10,False,1995,4,12,29,13568,89
301,4,7,15,1,39414,10,False,1995,31,12,58,33080,83
302,12,16,3,4,75643,10,False,1995,26,11,46,34934,46
303,15,17,19,12,22616,9,False,1995,25,14,26,17362,76
304,2,1,10,6,40834,9,True,1995,16,16,41,31048,76
305,3,13,18,2,23489,9,False,1995,28,14,16,20987,89
306,11,18,5,13,37792,9,False,1995,22,12,21,34076,90
307,6,14,7,14,33746,9,False,1995,21,14,18,29462,87
308,8,5,8,20,30602,9,False,1995,20,13,43,25620,83
309,19,20,9,11,36284,9,True,1995,16,16,41,25321,69
310,17,19,15,9,18439,9,True,1995,16,16,41,15659,84
311,7,2,1,11,52305,9,False,1995,18,12,101,36225,69
312,1,9,4,18,38419,9,False,1995,16,16,41,38136,99
313,13,8,5,8,42749,9,False,1995,13,14,17,33972,79
314,14,3,13,16,31367,9,False,1995,12,14,30,24382,77
315,16,15,3,19,54074,9,False,1995,31,15,49,40104,74
316,5,6,20,7,35150,9,False,1995,26,14,26,25865,73
317,18,12,12,2,39812,9,False,1995,17,13,41,34101,85
318,10,4,17,14,35345,9,False,1995,16,16,41,21085,59
319,20,11,10,6,25486,9,False,1995,16,16,41,13307,52
320,8,4,6,12,30602,9,False,1995,20,13,43,24786,80
321,1,10,5,19,38419,9,True,1995,16,16,41,38065,99
322,13,20,3,7,42749,9,False,1995,13,14,17,29928,70
323,2,9,9,16,40834,9,False,1995,16,16,41,26237,64
324,11,17,8,15,37792,9,False,1995,22,12,21,31504,83
325,16,14,4,17,54074,9,False,1995,31,15,49,39502,73
326,12,15,2,18,75643,9,False,1995,26,14,26,32812,43
327,6,3,10,14,33746,9,False,1995,21,14,18,27882,82
328,7,5,1,20,52305,9,False,1995,18,12,101,36501,69
329,18,19,13,11,39812,9,False,1995,17,13,41,26565,66
330,6,9,11,14,33746,9,False,1995,21,14,18,29181,86
331,10,2,19,12,35345,9,True,1995,16,16,41,19228,54
332,5,1,20,6,35150,9,False,1995,26,14,26,23994,68
333,14,13,16,5,31367,9,False,1995,12,14,30,27084,86
334,15,6,17,11,22616,9,False,1995,25,14,26,18376,81
335,3,8,13,8,23489,9,False,1995,28,14,16,17219,73
336,4,12,10,2,39414,9,False,1995,31,15,49,39496,100
337,17,18,18,9,18439,9,False,1995,16,16,41,12459,67
338,9,7,14,1,15200,9,False,1995,4,15,15,15237,100
339,19,11,15,4,36284,9,False,1995,16,16,41,30034,82
340,20,16,3,7,25486,9,False,1995,16,16,41,19530,76
341,9,11,19,2,15200,8,False,1995,4,17,10,15212,100
342,13,15,5,15,42749,8,False,1995,13,16,27,31770,74
343,2,3,14,10,40834,8,False,1995,16,18,57,24398,59
344,16,17,3,16,54074,8,False,1995,31,16,66,37548,69
345,5,4,20,7,35150,8,False,1995,26,16,31,28432,80
346,7,6,1,11,52305,8,False,1995,18,13,104,36483,69
347,10,19,17,18,35345,8,True,1995,16,18,57,23516,66
348,20,18,6,12,25486,8,False,1995,16,18,57,6352,24
349,1,8,8,9,38419,8,False,1995,16,18,57,38248,99
350,14,12,13,4,31367,8,False,1995,12,16,35,29843,95
351,18,7,12,1,39812,8,False,1995,17,15,65,24815,62
352,15,14,15,13,22616,8,False,1995,25,16,31,20253,89
353,3,1,10,8,23489,8,False,1995,28,17,23,20065,85
354,4,9,7,19,39414,8,False,1995,31,16,66,33668,85
355,11,13,2,5,37792,8,False,1995,22,15,31,35086,92
356,12,20,4,6,75643,8,False,1995,26,16,31,32226,42
357,6,2,11,14,33746,8,False,1995,21,16,24,28286,83
358,8,10,9,17,30602,8,False,1995,20,15,62,26645,87
359,17,5,16,20,18439,8,False,1995,16,18,57,14212,77
360,19,16,18,3,36284,8,False,1995,16,18,57,31254,86
361,3,5,11,14,23489,8,False,1995,28,17,23,15957,67
362,4,1,16,5,39414,8,False,1995,31,16,66,35775,90
363,8,2,6,12,30602,8,False,1995,20,15,62,27007,88
364,17,20,20,2,18439,8,True,1995,16,18,57,11837,64
365,18,14,8,7,39812,8,False,1995,17,15,65,25544,64
366,19,13,15,3,36284,8,False,1995,16,18,57,26726,73
367,12,10,10,18,75643,8,False,1995,26,16,31,31966,42
368,15,7,19,1,22616,8,False,1995,25,16,31,20253,89
369,11,16,4,9,37792,8,False,1995,22,15,31,35852,94
370,1,6,5,13,38419,8,False,1995,16,18,57,37308,97
371,13,12,3,10,42749,8,False,1995,13,16,27,34655,81
372,14,17,7,20,31367,8,False,1995,12,16,35,22860,72
373,2,4,12,16,40834,8,False,1995,16,18,57,29858,73
374,16,18,9,8,54074,8,False,1995,31,16,66,40535,74
375,5,19,14,15,35150,8,False,1995,26,16,31,30827,87
376,7,3,1,11,52305,8,False,1995,18,13,104,36485,69
377,9,8,17,6,15200,8,False,1995,4,17,10,15164,99
378,10,11,18,4,35345,8,False,1995,16,18,57,22901,64
379,20,15,2,19,25486,8,False,1995,16,18,57,9317,36
380,13,9,5,16,42749,5,False,1996,13,12,26,39339,92
381,14,22,13,9,31367,5,False,1996,12,12,32,25881,82
382,21,1,12,3,18300,5,False,1996,9,12,24,18287,99
383,4,2,15,6,39414,5,False,1996,31,12,53,38321,97
384,11,6,11,19,37792,5,False,1996,22,10,26,38567,102
385,12,10,1,14,75643,5,False,1996,26,12,21,55249,73
386,7,8,2,20,52305,5,False,1996,18,9,116,36554,69
387,18,16,7,4,39812,5,False,1996,17,10,47,38943,97
388,19,3,10,17,36284,5,False,1996,16,14,52,33029,91
389,20,23,8,18,25486,5,False,1996,16,14,52,21338,83
390,14,6,13,18,31367,5,False,1996,12,12,32,27411,87
391,12,7,1,3,75643,5,False,1996,26,12,21,55236,73
392,22,18,12,7,22000,5,False,1996,6,12,24,20793,94
393,10,7,14,3,35345,5,False,1996,16,14,52,24617,69
394,20,16,8,2,25486,5,False,1996,16,14,52,20016,78
395,12,6,1,18,75643,5,False,1996,26,12,21,54489,72
396,22,12,16,1,22000,5,False,1996,6,12,24,21068,95
397,1,7,3,4,38419,5,False,1996,16,14,52,38179,99
398,2,11,6,11,40834,5,False,1996,16,14,52,28277,69
399,3,21,18,10,23489,5,False,1996,28,12,23,22839,97
400,6,13,19,5,33746,5,False,1996,21,11,19,30074,89
401,8,20,20,8,30602,5,False,1996,20,11,63,19865,64
402,9,14,14,13,15200,5,False,1996,4,13,16,15247,100
403,23,4,17,12,22500,5,False,1996,14,10,23,22108,98
404,10,18,15,7,35345,5,False,1996,16,14,52,24960,70
405,16,19,2,9,54074,5,False,1996,31,12,53,40003,73
406,19,6,9,19,36284,4,False,1996,16,11,30,29947,82
407,21,8,11,20,18300,4,False,1996,9,9,26,18087,98
408,22,10,14,16,22000,4,False,1996,6,9,26,20327,92
409,14,18,13,6,31367,4,False,1996,12,9,26,20845,66
410,11,13,10,5,37792,4,False,1996,22,7,25,26897,71
411,23,9,18,15,22500,4,False,1996,14,7,23,21521,95
412,20,2,8,7,25486,4,True,1996,16,11,30,14601,57
413,3,1,17,2,23489,4,False,1996,28,9,22,19998,85
414,1,14,2,14,38419,4,False,1996,16,11,30,38086,99
415,13,19,5,9,42749,4,False,1996,13,8,23,39339,92
416,2,22,7,13,40834,4,False,1996,16,11,30,27723,67
417,6,23,19,16,33746,4,False,1996,21,8,22,30106,89
418,7,21,4,12,52305,4,False,1996,18,7,70,36553,69
419,8,11,20,10,30602,4,False,1996,20,9,38,25565,83
420,16,12,3,1,54074,4,False,1996,31,10,36,40892,75
421,18,20,6,8,39812,4,False,1996,17,8,31,26957,67
422,9,3,17,15,15200,4,False,1996,4,9,19,15251,100
423,10,4,18,11,35345,4,False,1996,16,11,30,24525,69
